Generation,PID, Epoch, Training Loss, Validation Loss,Best, Accuracy,EarlyStopCount,Runtime
2,6,8,0.13516018,0.13222983,0.13222983,0.7593,   2/  3,3.8495667
2,6,9,0.13370481,0.13420007,0.13222983,0.7719,   3/  3,3.91590714
2,7,0,0.38988739,0.32502172,0.32502172,0.1135,   0/  3,3.95347261
2,7,1,0.32495764,0.32492997,0.32492997,0.1135,   0/  3,3.99968743
2,7,2,0.32495966,0.32491749,0.32491749,0.1135,   0/  3,4.00311232
2,7,3,0.32495757,0.32493268,0.32491749,0.1135,   1/  3,3.99906707
2,7,4,0.32494969,0.32491004,0.32491004,0.1135,   1/  3,4.00298905
2,7,5,0.32496224,0.32491779,0.32491004,0.1135,   2/  3,4.00538778
2,7,6,0.32495437,0.32491528,0.32491004,0.1135,   3/  3,4.0033462
2,8,0,0.16890638,0.12253622,0.12253622,0.7755,   0/  3,4.87056589
2,8,1,0.12122565,0.11637778,0.11637778,0.7909,   0/  3,4.92381239
2,8,2,0.11217027,0.10648901,0.10648901,0.8145,   0/  3,4.92335081
2,8,3,0.10501506,0.09909334,0.09909334,0.8393,   0/  3,4.92658854
2,8,4,0.09868532,0.0960496,0.0960496,0.8423,   0/  3,4.91963267
2,8,5,0.09538777,0.09720089,0.0960496,0.841,   1/  3,4.91888714
2,8,6,0.09395619,0.09632421,0.0960496,0.8423,   2/  3,4.92225409
2,8,7,0.09268152,0.09188502,0.09188502,0.8491,   2/  3,4.93650413
2,8,8,0.09194375,0.09044092,0.09044092,0.8501,   2/  3,4.9861815
2,8,9,0.09018792,0.09192959,0.09044092,0.8456,   3/  3,5.05223513
2,9,0,0.19803273,0.14383157,0.14383157,0.7178,   0/  3,4.39134645
2,9,1,0.13185413,0.12044251,0.12044251,0.7825,   0/  3,4.44480991
2,9,2,0.12269061,0.11712021,0.11712021,0.796,   0/  3,4.44259453
2,9,3,0.1194726,0.11245442,0.11245442,0.8061,   0/  3,4.44964767
2,9,4,0.11727999,0.11379861,0.11245442,0.802,   1/  3,4.45008826
2,9,5,0.11515317,0.11413913,0.11245442,0.8014,   2/  3,4.44810414
2,9,6,0.11418405,0.11416847,0.11245442,0.8064,   3/  3,4.46363139
3,0,0,0.31203434,0.22828117,0.22828117,0.4328,   0/  3,4.82453918
3,0,1,0.2204268,0.21445979,0.21445979,0.4651,   0/  3,4.87815762
3,0,2,0.21128679,0.20545354,0.20545354,0.4665,   0/  3,4.886621
3,0,3,0.19235302,0.17548189,0.17548189,0.585,   0/  3,4.84920311
3,0,4,0.16553612,0.16733201,0.16733201,0.6243,   0/  3,4.84074497
3,0,5,0.15460638,0.15345766,0.15345766,0.6882,   0/  3,4.84202981
3,0,6,0.14135195,0.13861354,0.13861354,0.7431,   0/  3,4.84127426
3,0,7,0.12986349,0.12989761,0.12989761,0.7769,   0/  3,4.85633612
3,0,8,0.12447263,0.12701198,0.12701198,0.7837,   0/  3,4.88038421
